Store,2024,Store_ID,Store_Status,Postal_Code,City,GPS_Coordinates,Poststed,Region_Code,Region_Name,Municipality_Code,Municipality_Name,PostnummerKategoriKode,PostnummerKategori,Latitude,Longitude
trysil,158819.714,294,Open,2420,Trysil,61.3154033;12.2614273,TRYSIL,04,HEDMARK,0428,TRYSIL,G,Gateadresser og stedsadresser,61.3125130,12.2685100
tynset,161402.57,293,Open,2500,Tynset,62.2787449;10.7731633,TYNSET,04,HEDMARK,0437,TYNSET,G,Gateadresser og stedsadresser,62.2747920,10.7763430
vinstra,181242.60100000002,125,Open,2640,Vinstra,61.594717;9.725465,VINSTRA,05,OPPLAND,0516,NORD-FRON,G,Gateadresser og stedsadresser,61.5938230,9.7530420
vaga,55093.439000000006,349,Open,2680,Vågå,61.8768521;9.0963656,VÅGÅ,05,OPPLAND,0515,VÅGÅ,G,Gateadresser og stedsadresser,61.8734310,9.0946480
oyer,204586.195,408,Open,2636,Øyer,61.24622;10.43922,ØYER,05,OPPLAND,0521,ØYER,G,Gateadresser og stedsadresser,61.2649933,10.4129680
brattvag,60856.24,379,Open,6270,Brattvåg,62.5976;6.4459,BRATTVÅG,15,MØRE OG ROMSDAL,1534,HARAM,G,Gateadresser og stedsadresser,62.5945700,6.4460400
bruhagen,65072.032,420,Open,6530,Averøy,63.0521;7.6312,AVERØY,15,MØRE OG ROMSDAL,1554,AVERØY,G,Gateadresser og stedsadresser,63.0521600,7.6319900
digerneset,286889.895,109,Open,6260,Skodje,62.4921261;6.6060126,SKODJE,15,MØRE OG ROMSDAL,1529,SKODJE,G,Gateadresser og stedsadresser,62.5061600,6.6833800
elnesvagen,127270.557,333,Open,6440,Elnesvågen,62.8542;7.1606,ELNESVÅGEN,15,MØRE OG ROMSDAL,1548,FRÆNA,G,Gateadresser og stedsadresser,62.8536900,7.1626570
fosnavag,86828.726,347,Open,6090,Fosnavåg,62.3427505;5.6303175,FOSNAVÅG,15,MØRE OG ROMSDAL,1515,HERØY (M.R.),G,Gateadresser og stedsadresser,62.3377800,5.6374800
"kristiansund, futura",322192.823,137,Open,6517,Kristiansund N,63.110669;7.780337,KRISTIANSUND N,15,MØRE OG ROMSDAL,1505,KRISTIANSUND,G,Gateadresser og stedsadresser,63.1102900,7.7923400
"kristiansund, sentrum",243579.324,232,Open,6509,Kristiansund N,63.1093454;7.7322502,KRISTIANSUND N,15,MØRE OG ROMSDAL,1505,KRISTIANSUND,G,Gateadresser og stedsadresser,63.1125400,7.7301100
langevag,96008.893,432,Open,6030,Langevåg,62.440360702;6.18992,LANGEVÅG,15,MØRE OG ROMSDAL,1531,SULA,G,Gateadresser og stedsadresser,62.4408000,6.2033300
molde,605475.1950000001,244,Open,6415,Molde,62.7376594;7.1827361,MOLDE,15,MØRE OG ROMSDAL,1502,MOLDE,G,Gateadresser og stedsadresser,62.7409400,7.1794000
smola,29866.92,457,Open,6570,Smøla,63.46083081574632;8.01210,SMØLA,15,MØRE OG ROMSDAL,1573,SMØLA,G,Gateadresser og stedsadresser,63.4616100,7.9994600
stranda,70231.80000000002,329,Open,6200,Stranda,62.3078564;6.9459833,STRANDA,15,MØRE OG ROMSDAL,1525,STRANDA,G,Gateadresser og stedsadresser,62.3073780,6.9445990
sunndalsora,159865.45499999996,259,Open,6600,Sunndalsøra,62.6700166;8.5773302,SUNNDALSØRA,15,MØRE OG ROMSDAL,1563,SUNNDAL,G,Gateadresser og stedsadresser,62.6723510,8.5672220
surnadal,110736.61600000001,312,Open,6650,Surnadal,62.9759882;8.7280454,SURNADAL,15,MØRE OG ROMSDAL,1566,SURNADAL,G,Gateadresser og stedsadresser,62.9759900,8.7280500
sykkylven,108640.87199999999,348,Open,6230,Sykkylven,62.391866;6.582972,SYKKYLVEN,15,MØRE OG ROMSDAL,1528,SYKKYLVEN,G,Gateadresser og stedsadresser,62.3920000,6.5830420
ulsteinvik,210149.09100000001,183,Open,6065,Ulsteinvik,62.3428452;5.8480709,ULSTEINVIK,15,MØRE OG ROMSDAL,1516,ULSTEIN,G,Gateadresser og stedsadresser,62.3408050,5.8518610
vanylven,24142.502,367,Open,6143,Fiskå,62.10065;5.557601,FISKÅ,15,MØRE OG ROMSDAL,1511,VANYLVEN,G,Gateadresser og stedsadresser,62.1012800,5.5556000
vestnes,89093.264,384,Open,6390,Vestnes,62.623;7.0942,VESTNES,15,MØRE OG ROMSDAL,1535,VESTNES,G,Gateadresser og stedsadresser,62.6234700,7.0896280
volda,147069.652,357,Open,6100,Volda,62.1442;6.0723,VOLDA,15,MØRE OG ROMSDAL,1519,VOLDA,G,Gateadresser og stedsadresser,62.1459380,6.0699460
orsta,156512.22300000003,299,Open,6150,Ørsta,62.199407;6.124449,ØRSTA,15,MØRE OG ROMSDAL,1520,ØRSTA,G,Gateadresser og stedsadresser,62.2029000,6.1272000
"alesund, moa",707717.253,174,Open,6010,Ålesund,62.465445;6.351643,ÅLESUND,15,MØRE OG ROMSDAL,1504,ÅLESUND,G,Gateadresser og stedsadresser,62.4658920,6.3633010
"alesund, sentrum",356279.93899999995,245,Open,6002,Ålesund,62.471387;6.153867,ÅLESUND,15,MØRE OG ROMSDAL,1504,ÅLESUND,G,Gateadresser og stedsadresser,62.4749800,6.1602700
andalsnes,123225.52799999999,175,Open,6300,Åndalsnes,62.5692220;7.6861185,ÅNDALSNES,15,MØRE OG ROMSDAL,1539,RAUMA,G,Gateadresser og stedsadresser,62.5640110,7.6860740
andenes,86095.571,316,Open,8480,Andenes,69.3146923;16.1198382,ANDENES,18,NORDLAND,1871,ANDØY,G,Gateadresser og stedsadresser,69.3177440,16.1213350
"bodo, city nord",663268.869,339,Open,8008,Bodø,67.2772;14.4241,BODØ,18,NORDLAND,1804,BODØ,G,Gateadresser og stedsadresser,67.2791300,14.4106200
"bodo, hunstad",282442.25,469,Open,8019,Bodø,67.280830;14.544759,BODØ,18,NORDLAND,1804,BODØ,G,Gateadresser og stedsadresser,67.2764860,14.5103070
"bodo, sentrum",314150.708,204,Open,8006,Bodø,67.284066;14.3797767,BODØ,18,NORDLAND,1804,BODØ,G,Gateadresser og stedsadresser,67.2846500,14.3890000
bronnoysund,172654.06999999998,208,Open,8900,Brønnøysund,65.4728353;12.2082818,BRØNNØYSUND,18,NORDLAND,1813,BRØNNØY,G,Gateadresser og stedsadresser,65.4698450,12.2058110
bo i vesteralen,34876.03999999999,445,Open,8470,Bø I Vesterålen,68.62087;14.445598,BØ I VESTERÅLEN,18,NORDLAND,1867,BØ (N.),G,Gateadresser og stedsadresser,68.6177850,14.4625000
fauske,239953.638,212,Open,8200,Fauske,67.2583222;15.3957895,FAUSKE,18,NORDLAND,1841,FAUSKE,G,Gateadresser og stedsadresser,67.2589740,15.3915020
heroy,32626.095,443,Open,8850,Herøy,65.98360;12.2878,HERØY,18,NORDLAND,1818,HERØY (N.),G,Gateadresser og stedsadresser,65.9848000,12.2923200
korgen,52751.047,424,Open,8646,Korgen,66.08029;13.82500,KORGEN,18,NORDLAND,1832,HEMNES,G,Gateadresser og stedsadresser,66.0769770,13.8247300
leknes,258982.293,214,Open,8370,Leknes,68.1489;13.6174,LEKNES,18,NORDLAND,1860,VESTVÅGØY,G,Gateadresser og stedsadresser,68.1481820,13.6115460
lodingen,43683.264,369,Open,8410,Lødingen,68.414;15.9979,LØDINGEN,18,NORDLAND,1851,LØDINGEN,G,Gateadresser og stedsadresser,68.4108000,15.9919400
mo i rana,520562.434,240,Open,8622,Mo I Rana,66.3062122;14.1335968,MO I RANA,18,NORDLAND,1833,RANA,G,Gateadresser og stedsadresser,66.3125180,14.1324390
mosjoen,265853.637,248,Open,8656,Mosjøen,65.83990316;13.18992644,MOSJØEN,18,NORDLAND,1824,VEFSN,G,Gateadresser og stedsadresser,65.8354000,13.1956200
myre,82613.52300000003,359,Open,8430,Myre,68.914695;15.1011800,MYRE,18,NORDLAND,1868,ØKSNES,G,Gateadresser og stedsadresser,68.9152050,15.0887200
